community,year,events-total,events-red_purple,events-orange,events-yellow,media-seconds-red_purple,median-seconds-orange,median-seconds-yellow
Vancouver,2024,85129,38592,24768,20065,641,"1,221","2,522"
Vancouver,2023,84965,36165,27332,19300,652,"1,356","3,164"
Vancouver,2022,75106,28357,25773,19817,671,"1,293","2,933"
Vancouver,2021,79219,27848,26786,24585,583,922,804
Vancouver,2019,86711,24966,27377,34368,466,638,"1,341"
Surrey,2024,53036,23644,14840,13356,744,"1,336","2,147"
Vancouver,2018,84952,22517,24983,37452,459,588,"1,139"
Vancouver,2020,80533,22461,25683,32389,495,679,"1,375"
Surrey,2023,49746,19995,15893,12709,748,"1,405","2,434"
Surrey,2022,48611,17763,16636,13442,749,"1,366","2,405"
Surrey,2021,51693,16524,16937,18232,664,"1,000",403
Surrey,2019,49529,13436,15176,20917,580,742,"1,214"
Surrey,2018,50182,13186,14493,22503,570,718,"1,133"
Surrey,2020,50377,13106,15568,21703,585,769,"1,228"
Kelowna,2024,25539,9203,7161,8922,505,684,"1,167"
Victoria,2024,20993,8072,6391,6292,481,669,"1,473"
Kelowna,2023,24935,8055,7883,8719,494,671,"1,131"
Abbotsford,2024,20331,7962,5478,6651,569,738,"1,000"
Burnaby,2024,18908,7613,5676,5069,797,"1,469","2,531"
Nanaimo,2024,19662,7199,5294,7023,526,662,"1,111"
Victoria,2023,19930,7041,6508,6277,473,664,"1,466"
Nanaimo,2023,20158,6997,6104,6950,507,644,"1,118"
Abbotsford,2023,19977,6919,6101,6725,569,750,"1,045"
Kelowna,2022,23566,6731,7381,9174,510,700,"1,150"
Langley,2024,16543,6476,4770,4926,805,"1,239","1,763"
Burnaby,2023,17995,6464,6113,4889,826,"1,602","2,928"
Abbotsford,2022,18963,6322,5946,6467,576,796,"1,157"
Richmond,2024,15939,5810,4418,5413,806,"1,149","1,496"
Kamloops,2024,17077,5754,4866,6128,531,646,969
Kelowna,2021,23367,5743,6958,10666,460,588,909
Burnaby,2022,17470,5707,6232,5225,809,"1,442","2,670"
Victoria,2022,18475,5703,6114,6567,473,630,"1,322"
Abbotsford,2021,19090,5612,5655,7823,547,729,"1,076"
Chilliwack,2024,15624,5553,4308,5626,558,687,"1,013"
Langley,2023,15389,5427,5031,4643,819,"1,295","2,046"
Kamloops,2023,17072,5389,5372,6017,514,659,994
Prince George,2024,13462,5361,3883,3984,488,655,"1,026"
Other Communities,2021,17202,5119,4683,7400,87,207,498
Nanaimo,2022,17117,5099,5402,6496,540,683,"1,146"
Burnaby,2021,17279,5055,6011,6213,735,"1,129",865
Prince George,2023,13525,4976,4283,4207,477,679,"1,062"
Chilliwack,2023,14787,4963,4444,5259,557,750,"1,085"
Victoria,2021,17777,4934,5595,7248,438,559,"1,022"
Other Communities,2020,15964,4884,4278,6802,35,106,448
Richmond,2023,15027,4853,4619,5273,799,"1,210","1,653"
Langley,2022,14836,4782,5249,4621,830,"1,359","2,119"
Victoria,2019,18325,4759,5429,8137,414,504,846
Kelowna,2020,19861,4661,5761,9439,467,569,884
Kelowna,2019,19743,4660,5533,9550,456,558,845
Burnaby,2019,18734,4639,6153,7942,603,809,112
Victoria,2018,17886,4607,5199,8080,411,495,822
Kamloops,2022,16048,4604,5086,6101,548,742,"1,127"
Other Communities,2018,14414,4525,3463,6426,19,98,317
Kelowna,2018,19624,4509,5453,9662,442,524,806
Other Communities,2019,14666,4495,3778,6393,0,93,333
Burnaby,2018,18561,4435,5639,8487,600,766,"1,380"
Abbotsford,2019,17208,4426,4940,7842,513,632,910
Langley,2021,15424,4392,5170,5862,771,"1,109",318
Abbotsford,2020,17259,4359,5000,7900,522,634,913
Victoria,2020,16559,4309,4990,7260,430,532,916
Burnaby,2020,17728,4296,5766,7666,634,848,189
Nanaimo,2021,16907,4182,5009,7716,505,608,911
Maple Ridge,2024,10087,4179,2677,3077,617,880,"1,146"
Saanich,2024,11833,4125,3312,4221,561,737,"1,418"
Richmond,2022,13566,4108,4603,4712,804,"1,228","1,737"
Prince George,2022,12305,4104,4054,4101,496,684,"1,030"
North Vancouver,2024,11941,4101,3499,4167,699,"1,029","1,412"
Coquitlam,2024,10367,4043,2969,3146,796,"1,200","1,732"
Chilliwack,2022,13234,4014,4240,4889,589,801,"1,209"
Abbotsford,2018,16540,3923,4668,7949,527,617,871
Kamloops,2021,15130,3846,4545,6739,515,647,935
Chilliwack,2021,14383,3828,4221,6334,564,706,"1,056"
Langley,2019,14973,3802,4673,6498,652,814,"1,245"
Nanaimo,2019,15528,3788,4382,7358,471,548,760
Nanaimo,2018,15081,3703,4210,7168,468,544,764
Prince George,2021,12006,3693,3657,4656,501,633,877
Langley,2020,15151,3650,4636,6865,675,865,"1,274"
Maple Ridge,2023,9866,3602,3058,3065,676,962,"1,414"
Saanich,2023,11995,3601,3914,4420,555,736,"1,465"
New Westminster,2024,8317,3591,2338,2179,770,"1,363","2,383"
Nanaimo,2020,15232,3571,4416,7245,492,578,810
North Vancouver,2023,11057,3501,3592,3820,704,"1,102","1,601"
Richmond,2021,12580,3489,3997,5094,722,"1,001",190
Duncan,2024,8795,3487,2470,2809,497,603,953
Delta,2024,8918,3448,2631,2672,946,"1,426","2,039"
Langley,2018,14461,3447,4292,6722,642,777,"1,184"
Vernon,2024,10295,3435,2895,3915,465,568,887
Richmond,2019,14285,3408,4359,6518,633,802,"1,259"
Kamloops,2019,13893,3320,3971,6602,522,612,836
Coquitlam,2023,9573,3311,3148,2893,824,"1,273","2,042"
Kamloops,2018,13509,3282,3731,6496,510,606,870
New Westminster,2023,8171,3185,2658,2132,775,"1,451","2,496"
Kamloops,2020,13551,3158,4027,6366,503,621,860
Richmond,2018,14105,3137,3986,6982,628,755,"1,159"
Chilliwack,2019,12802,3112,3605,6085,516,621,909
Chilliwack,2020,13131,3098,3761,6272,535,649,940
Delta,2023,8479,3032,2805,2485,982,"1,499","2,303"
Prince George,2020,10553,2998,3115,4440,479,595,826
Vernon,2023,9976,2997,3224,3713,464,568,857
Maple Ridge,2022,8921,2992,2980,2858,694,"1,037","1,511"
Chilliwack,2018,12566,2970,3465,6131,525,633,916
Coquitlam,2022,9376,2955,3226,3056,809,"1,283","1,905"
Maple Ridge,2021,9415,2922,3029,3464,618,881,"1,213"
Campbell River,2024,7579,2915,2240,2376,529,664,"1,139"
Richmond,2020,12111,2891,3717,5503,634,805,"1,282"
North Vancouver,2022,10324,2823,3640,3786,682,986,"1,548"
